user_id,item_id,rating,timestamp
0.0,0.0,2.660436034202576,0.0
0.0,582.0,1.703200340270996,1.0
0.0,272.0,3.260068655014038,2.0
0.0,349.0,2.011293053627014,3.0
0.0,954.0,4.111142873764038,4.0
0.0,1048.0,4.501396894454956,5.0
0.0,1183.0,4.651025056838989,6.0
0.0,1183.0,4.651025056838989,7.0
0.0,1473.0,1.4489958584308624,8.0
0.0,1537.0,1.325406163930893,9.0
0.0,1666.0,2.783379554748535,10.0
0.0,1794.0,4.341976165771484,11.0
0.0,2129.0,4.358985185623169,12.0
0.0,2389.0,1.8270797729492188,13.0
1.0,1.0,3.560418009757996,0.0
1.0,644.0,4.765943288803101,1.0
1.0,689.0,3.864119172096253,2.0
1.0,748.0,4.443110227584839,3.0
1.0,748.0,4.443110227584839,4.0
1.0,774.0,2.812074422836304,5.0
1.0,1236.0,3.491501569747925,6.0
1.0,1236.0,3.491501569747925,7.0
1.0,1429.0,3.2548859119415283,8.0
2.0,2.0,4.260063648223877,0.0
2.0,2.0,4.260063648223877,1.0
2.0,2.0,4.260063648223877,2.0
2.0,34.0,3.7451764345169063,3.0
2.0,38.0,4.110569477081299,4.0
2.0,20.0,3.032177209854126,5.0
2.0,29.0,3.9335955381393433,6.0
2.0,329.0,3.965928196907044,7.0
2.0,329.0,3.965928196907044,8.0
2.0,130.0,1.4429990649223328,9.0
2.0,689.0,4.148225545883179,10.0
2.0,689.0,4.148225545883179,11.0
2.0,206.0,1.708328366279602,12.0
2.0,622.0,3.4742214679718018,13.0
2.0,747.0,3.4965065717697144,14.0
2.0,1233.0,2.487313032150269,15.0
2.0,1816.0,2.8570659160614014,16.0
2.0,5199.0,1.6254472732543943,17.0
3.0,1.0,4.235119581222534,0.0
3.0,4.0,4.121134638786316,1.0
3.0,15.0,3.2563573122024536,2.0
3.0,28.0,4.71703577041626,3.0
3.0,4.0,4.121134638786316,4.0
3.0,33.0,4.930602550506592,5.0
3.0,228.0,0.586097240447998,6.0
3.0,230.0,2.567935347557068,7.0
